Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 18:03:59;74;Ligada;Nao;27;Rod Fernão Dias;Atibaia;SP;-23.1802,-46.5805;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:02:00;73;Ligada;Nao;27;Rod Fernão Dias;Atibaia;SP;-23.1611,-46.5736;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 18:01:46;71;Ligada;Nao;28;Sem nome;Atibaia;SP;-23.1586,-46.5738;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:59:46;67;Ligada;Nao;27;Rod Fernão Dias;Atibaia;SP;-23.1356,-46.5762;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:57:46;65;Ligada;Nao;27;Retorno;Atibaia;SP;-23.1165,-46.5729;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:55:46;40;Ligada;Nao;27;Rod D Pedro I;Atibaia;SP;-23.1008,-46.5731;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:53:46;81;Ligada;Nao;27;Rod D Pedro I;Atibaia;SP;-23.1015,-46.5929;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:51:46;72;Ligada;Nao;27;AC P/ Rod D Pedro I;Atibaia;SP;-23.0986,-46.6153;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:49:46;32;Ligada;Nao;27;Rod D Pedro I;Atibaia;SP;-23.0943,-46.6265;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:47:46;86;Ligada;Nao;27;Rod D Pedro I;Atibaia;SP;-23.0749,-46.6390;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:45:46;75;Ligada;Nao;27;Rod D Pedro I;Atibaia;SP;-23.0589,-46.6557;Nao;0;;-125;-125;Nao;Nao;Valido
